record_id,legacy_id,name,company,state,county,structured_road_sequence,current_state,driver_rule_status,gps_source,destination_latitude,destination_longitude,directory_gps_source,directory_coordinate_role,directory_latitude,directory_longitude,record_revision,navigation_label,origin,blocker,receipt
f896d00c-da26-41b6-bf5b-e9d91afbdbc6,ascent--blayney,BLAYNEY,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → OR → OH-9 → OH-149 → OH-331,3,GPS_ONLY,saved,40.115603,-80.992706,saved,saved pad reference,40.115603,-80.992706,1787615581785257,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
456b4e09-b11c-429b-87e2-1b293bfb319c,ascent--blessed,BLESSED,Ascent,Ohio,Belmont,Route 70 → OH-9 → CR-5 → Garrett Hill Rd → Sutton Rd → Access Road,3,GPS_ONLY,saved,40.011526,-80.879811,saved,saved pad reference,40.011526,-80.879811,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
5056a78d-6965-4cfa-a100-488b80ba5397,ascent--borovich,BOROVICH,Ascent,Ohio,Belmont,Southwest On US-22 West/cadiz-steubenville Rd → US-22 → Industrial Park Rd → OH-9 / South/cadiz-new Athens Rd → OH-149 → OH-331 → US-40 → I-70 → Exit 216 → OR → OH-1 → OH-800 / Gehrig Rd → OH-145 → Main St → Becomes North Ave → Becomes Oh-145/belmont Ave → OH-148 → OH-9 → OH-149,3,GPS_ONLY,saved,40.0112,-80.892363,saved,saved pad reference,40.0112,-80.892363,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
05c3de57-2e9b-4a24-9c5b-59584fbec133,ascent--breeze,BREEZE,Ascent,Ohio,Belmont,I-70 → Exit 216 → OH-149 → Airport Rd → Lease Road,3,GPS_ONLY,saved,40.035226,-80.97599,saved,saved pad reference,40.035226,-80.97599,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
b9d1a8de-2ddd-4345-82a1-7e2a1f6ff2cb,ascent--carlos,CARLOS,Ascent,Ohio,Belmont,I-70E → Exit 208 → OH-149 → Elm States Rd → Pad,3,GPS_ONLY,saved,40.042305,-80.972809,saved,saved pad reference,40.042305,-80.972809,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
18213b3c-d7a0-4042-b369-c595dce25a9d,ascent--coffield,COFFIELD,Ascent,Ohio,Belmont,OH-9 → CR-5 → A Rd → Little Mcmahon Creek Rd → Glencoe Rd → Township Ohio Follow Lude Rd → Lude Rd → Lloydsville Bannock Rd → US-40 → OH-331 → I-70 → Exit 216 → Mi Continue On Glencoe Rd → Methodist Ridge Rd → Glencoe Road/glencoe-street Clairsville Rd → Pad,3,GPS_ONLY,saved,40.044611,-80.88296,saved,saved pad reference,40.044611,-80.88296,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
ab964acf-05ac-4e18-b8cd-e5cb3914105c,ascent--coleman,COLEMAN,Ascent,Ohio,Belmont,I-70 → Exit 215 → US-40 → Vineyard Rd → OR → OH-331 → US-40 → Vineyard Rd,3,GPS_ONLY,saved,40.07909,-80.93528,saved,saved pad reference,40.07909,-80.93528,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
4213711f-0f23-440a-b0ec-42a1f9be4db0,ascent--cook,COOK,Ascent,Ohio,Belmont,St Bellaire Exit On St → OH-149 → Tar Run Rd → Cumberland Run Rd → Lease Road,3,GPS_ONLY,saved,40.002019,-80.875167,saved,saved pad reference,40.002019,-80.875167,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
23053421-06d5-47a2-bf77-5c3fdea4939b,ascent--cravat-north,CRAVAT NORTH,Ascent,Ohio,Belmont,I-70 → Exit 216 → OH-9 → Shepherstown Rd → CR-36,3,GPS_ONLY,saved,40.158191,-80.913312,saved,saved pad reference,40.158191,-80.913312,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
fba35b8e-ccc6-406b-b27c-ac9ce4eed29d,ascent--crowie,CROWIE,Ascent,Ohio,Belmont,Exit 215 → US-40 → Vineyard Rd → Williams Rd → OR → Exit 213 → US-40,reviewed_handoff_authority_held,DONE,saved,40.0979,-80.9384,saved,verified driver entrance,40.0979,-80.9384,1786265812046205,Named roads to saved pin,phone current location,,CROWIE exact-record Vineyard and Williams Road reviewed handoff with an explicit unapproved access / GPS tail
fbdb5ee4-38d6-4801-81cc-8ad4abbb24e2,ascent--dutton,DUTTON,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → Dutton Dr → OR → OH-9 → OH-149 → OH-331 → Dutton Dr → OR → OH-331 → Dutton Dr,reviewed_handoff_authority_held,DONE,saved,40.150027,-81.017133,saved,saved pad reference,40.150027,-81.017133,1787459253071652,Named roads to saved pin,phone current location,,DUTTON exact-record OH-331 and Dutton Drive reviewed handoff with unapproved GPS tail
6a47931a-4341-4965-9593-cfc3fc3e1c80,ascent--emersyn,EMERSYN,Ascent,Ohio,Belmont,OH-149 → US-40 → Pancoast Rd → Lude Rd → National Oco Rd → Saffel Rd → OR → I-70 → Exit 208 → US-40 → Pancoast Rd → Lude Rd → National Oco Rd → Saffel Rd,3,GPS_ONLY,saved,40.089436,-80.996978,saved,verified driver entrance,40.089436,-80.996978,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
a6fafe63-0153-4e09-a931-0da5b65b18ea,ascent--eureka,EUREKA,Ascent,Ohio,Belmont,Warnock Glencoe Rd → OH-9 → Pad → OR → Belmont Warnock Rd → OH-9 → OH-149 → OR → I-70 → Exit 216 → OH-149,3,GPS_ONLY,saved,40.01486,-80.920507,saved,saved pad reference,40.01486,-80.920507,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
4166a215-45bb-4662-82e2-80bb0184703b,ascent--exeter,EXETER,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → Over Narrow Bridge Up Hill → Lease Road,3,GPS_ONLY,ODNR pad,40.099352,-80.984043,ODNR pad,official pad reference,40.099352,-80.984043,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
46b82718-a6ca-437a-a2c6-f50c3f57c552,ascent--ezekiel,EZEKIEL,Ascent,Ohio,Belmont,,3,GPS_ONLY,saved,40.005527,-81.207719,saved,saved pad reference,40.005527,-81.207719,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
f5944b59-285c-4c82-aeba-98b3d1fba4ae,ascent--fleagane,FLEAGANE,Ascent,Ohio,Belmont,Route 70 → Pad,3,GPS_ONLY,saved,40.048011,-80.795112,saved,saved pad reference,40.048011,-80.795112,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
ed1df007-6cd9-4704-9d48-f72209cefa29,ascent--geoflo,GEOFLO,Ascent,Ohio,Belmont,Exit 216 → OH-9 → Maynard Rd → Kagg Hill Rd → Fairpoint-maynard Rd → Lease Road,3,GPS_ONLY,saved,40.120221,-80.921817,saved,saved pad reference,40.120221,-80.921817,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
a02e60ee-e32a-4c10-a7c5-b284395159fd,ascent--grand,GRAND,Ascent,Ohio,Belmont,I-70 → Exit 202 → Hillcrest Rd → Lease Road,3,GPS_ONLY,ODNR wellhead,40.013451,-81.160887,ODNR wellhead,official wellhead reference,40.013451,-81.160887,1786265512886177,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
f2f82142-f6d8-4f8d-b440-2ff86f624158,ascent--hastings,HASTINGS,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → OH-149 → Chaney Rd → Lease Road,reviewed_handoff_authority_held,DONE,saved,40.163138,-81.021428,saved,saved pad reference,40.163138,-81.021428,1786265812046205,Named roads to saved pin,phone current location,,HASTINGS exact-record OH-149 and Chaney Road / TR-386 reviewed handoff with unapproved GPS tail
952f385d-659a-4f00-80c6-3aff474d5f27,ascent--heller,HELLER,Ascent,Ohio,Belmont,I-70 → Exit 216 → OH-9 → OH-147 → Lease Road → OR → I-70 → Exit 208 → OH-149 → OH-147 → Bridge St → Main St → Lease Road → OR → OH-7 26th St → OH-7 → OH-149 → TR-573A → OH-147 → Lease Road,reviewed_handoff_authority_held,DONE,saved,39.974278,-80.887661,saved,saved pad reference,39.974278,-80.887661,1786265812046205,Named roads to saved pin,phone current location,,HELLER exact-record OH-147 reviewed highway-direct handoff; final saved-GPS tether unnamed and unapproved
036d0ac7-d72e-49e4-a400-ee0a631029e1,ascent--henderson,HENDERSON,Ascent,Ohio,Belmont,Exit 208 → I-70 → OH-149 → OH-147 → OH-9 → Henderson Rd → Lease Road,3,GPS_ONLY,saved,40.050354,-80.935656,saved,saved pad reference,40.050354,-80.935656,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
07b566cd-393e-49f6-9547-676438aefc1a,ascent--hindman,HINDMAN,Ascent,Ohio,Belmont,I-70 → Exit 218 → Mall Rd → Hindman Rd,3,GPS_ONLY,ODNR pad,40.080894,-80.842001,ODNR pad,official pad reference,40.080894,-80.842001,1786246617744175,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
85d74b99-da49-4a5a-aadf-1ce2b461071c,ascent--kaldor,KALDOR,Ascent,Ohio,Belmont,Exit 208 → OH-147 → Lease Road,3,GPS_ONLY,saved,39.976061,-80.838183,saved,saved pad reference,39.976061,-80.838183,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
947959e6-8297-4b03-b591-25d196e7b1c0,ascent--kasetta,KASETTA,Ascent,Ohio,Belmont,Exit 208 → OH-149 → OH-147 → CR-5 → CR-56,3,GPS_ONLY,saved,39.92,-80.87,saved,saved pad reference,39.92,-80.87,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
c09f4dd1-68f9-46d1-90b3-560240550ecd,ascent--kemper,KEMPER,Ascent,Ohio,Belmont,Exit 208 → OH-149 → OH-147 → Pad,reviewed_handoff_authority_held,DONE,saved,39.98664,-80.84253,saved,saved pad reference,39.98664,-80.84253,1786265812046205,Named roads to saved pin,phone current location,,KEMPER exact-record OH-147 reviewed highway-direct handoff; final saved-GPS tether unnamed and unapproved
3d920c70-2910-4b0a-a85a-442cd477802f,ascent--krnyaich,KRNYAICH,Ascent,Ohio,Belmont,Wegee Rd → Cash Ridge,3,GPS_ONLY,saved,39.966783,-80.851178,saved,saved pad reference,39.966783,-80.851178,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
47a0305e-c641-499b-990c-0f7fe83493b8,ascent--kungle-a,KUNGLE A,Ascent,Ohio,Belmont,OH-2 → OH-872 → OH-7 → OH-148 → Potts Rd → OR → OH-556 → Clover Ridge Rd → OH-148 → Potts Rd → OR → OH-147 → OH-148 → Potts Rd,reviewed_handoff_authority_held,DONE,saved,39.88507,-80.88258,saved,saved pad reference,39.88507,-80.88258,1787459253071652,Named roads to saved pin,phone current location,,KUNGLE A exact-record OH-148 and Potts Road reviewed handoff with unapproved GPS tail
ad5ef012-46f5-46ca-93c7-0f5b492cb201,ascent--kungle-b,KUNGLE B,Ascent,Ohio,Belmont,OH-2 → OH-872W → OH-7S → OH-148W → Potts Rd → OR → OH-556E → Clover Ridge Rd → OH-148E → Potts Rd → OR → OH-9 → OH-148E → Potts Rd,reviewed_handoff_authority_held,DONE,saved,39.88678,-80.87008,saved,saved pad reference,39.88678,-80.87008,1786258360881449,Named roads to saved pin,phone current location,,KUNGLE B exact-record OH-148 and Potts Road reviewed handoff with unapproved GPS tail
83499ca1-3c45-4502-b7c2-688e88343093,ascent--kurth,KURTH,Ascent,Ohio,Belmont,I-70 → Exit 216 → OH-9 → CR-5 → Methodist Ridge Rd → Campbell-johnson Hill Rd → Lease Road,3,GPS_ONLY,saved,40.031709,-80.841961,saved,saved pad reference,40.031709,-80.841961,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
907c0955-b7c1-47a9-b449-dd5762f2e642,ascent--lee,LEE,Ascent,Ohio,Belmont,US-250 → Lansing Cheermont Rd → Blaine Cheermont Rd → Access Road → OR → I-70 → Exit 225 → Marion St → Main St → US-250 → Lansing Cheermont Rd → Blaine Cheermont Rd → Access Road,3,GPS_ONLY,saved,40.090178,-80.811589,saved,saved pad reference,40.090178,-80.811589,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
a35f0ea7-13d7-45dd-8fe2-fe73e4964df2,ascent--lorraine,LORRAINE,Ascent,Ohio,Belmont,US-250 → CR-5 / Crescent Rd → CR-10 → CR10 Barton Blaine Rd,reviewed_handoff_authority_held,DONE,saved,40.09955,-80.840213,saved,saved pad reference,40.09955,-80.840213,1786265812046205,Named roads to saved pin,phone current location,,"LORRAINE exact-record US-250, Crescent Road / CR-5, and Barton-Blaine Road / CR-10 reviewed handoff with unapproved GPS tail"
8f616827-d7da-4b40-b9c2-49fd5e713822,ascent--maldon,MALDON,Ascent,Ohio,Belmont,I-70 → Exit 202 → OH-800 → Shannon Rd → Lowe Rd → Pad,reviewed_handoff_authority_held,DONE,saved,40.010241,-81.197285,saved,saved pad reference,40.010241,-81.197285,1786265812046205,Named roads to saved pin,phone current location,,MALDON exact-record Shannon and Lowe Road reviewed local approach; final saved-GPS handoff unapproved
d6d0a0fd-1cd3-48ae-8e41-90d744b9f8f6,ascent--matusek,MATUSEK,Ascent,Ohio,Belmont,I-70 → OH-9 / Shepherdstown Rd → Fairpoint Shepherdstown Rd → Sloans Run Rd → See Dunn Rd → Lease Road → OR → Dunn Rd,reviewed_handoff_authority_held,DONE,saved,40.146555,-80.922785,saved,saved pad reference,40.146555,-80.922785,1786258360881449,Named roads to saved pin,phone current location,,"MATUSEK exact-record OH-9, Shepherdstown, Fairpoint-Shepherdstown, and Sloans Run reviewed handoff with unapproved GPS tail"
d5722be0-59a2-42ae-baed-4c73efef4df6,ascent--miller,MILLER,Ascent,Ohio,Belmont,Route 70 → I-470 → 7s To 26th St → OH-7 → TR-476 → Brown Hollow Rd,3,GPS_ONLY,saved,39.994185,-80.790537,saved,saved pad reference,39.994185,-80.790537,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
bf97cbb2-e1bd-485e-b41d-fa314a8f9a0a,ascent--oboy,OBOY,Ascent,Ohio,Belmont,US-250 → CR-71 → Morgan Hill Rd → Grays Ridge Rd → Access Road → OR → OH-9 → Main St → Wheeling St → Stumptown Rd → US-250 → CR-71 → Morgan Hill Rd → Grays Ridge Rd → Access Road → OR → Union St → Market St → US-250 → CR-71 → Morgan Hill Rd → Grays Ridge Rd → Access Road,3,GPS_ONLY,saved,40.135262,-80.872088,saved,saved pad reference,40.135262,-80.872088,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
ac833974-3bda-4370-b7f8-48e4fd4dcdee,ascent--oliver,OLIVER,Ascent,Ohio,Belmont,OH-7 → Connection Take The Hanover St → OH-647 → OR → OH-519 / Stumptown Rd → OH-250 → OH-150 → OH-647,3,GPS_ONLY,saved,40.141528,-80.796019,saved,saved pad reference,40.141528,-80.796019,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
74032b6e-179d-4672-8720-55ac86cab232,ascent--pang,PANG,Ascent,Ohio,Belmont,Main St → OH-9 → Shepherdstown Rd → Access Road → OR → Marietta St → Newell Ave → OH-9 → Shepherdstown Rd → Access Road,reviewed_handoff_authority_held,DONE,saved,40.147178,-80.948742,saved,saved pad reference,40.147178,-80.948742,1786258360881449,Named roads to saved pin,phone current location,,PANG exact-record OH-9 and Shepherdstown Road / CR-64 reviewed handoff with unapproved GPS tail
7dd270a8-bd26-413f-b5dc-106fbce8fdd4,ascent--pavich,PAVICH,Ascent,Ohio,Belmont,OH-7 → Clover Ridge Rd → Lease Road,3,GPS_ONLY,saved,39.86264,-80.92166,saved,saved pad reference,39.86264,-80.92166,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
a3d9eb44-0446-4e4d-8917-ee6b978565f4,ascent--pol,POL,Ascent,Ohio,Belmont,OH-150 → OH-647 → Zeyer Rd → OR → OH-7 → OH-798 → OH-647 → Zeyer Rd,3,GPS_ONLY,saved,40.1703,-80.788818,saved,saved pad reference,40.1703,-80.788818,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
41f0bfc3-7be1-450f-abfc-96dce544547b,ascent--porterfield-b,PORTERFIELD B,Ascent,Ohio,Belmont,I-70 → Exit 215 → US-40 → Vineyard Rd → Lease Road → OR → OH-331 → US-40 → Vineyard Rd → Lease Road,reviewed_handoff_authority_held,DONE,saved,40.090438,-80.92121,saved,saved pad reference,40.090438,-80.92121,1786258360881449,Named roads to saved pin,phone current location,,PORTERFIELD B exact-record Vineyard Road reviewed handoff clipped at its own saved GPS
0b7105a0-1b36-4182-8d10-1f2e297c8bab,ascent--porterfield-gas-unit,PORTERFIELD GAS UNIT,Ascent,Ohio,Belmont,I-70 → Exit 215 → US-40 → Vineyard Rd → OR → OH-331 → US-40 → Vineyard Rd,reviewed_handoff_authority_held,DONE,saved,40.090431,-80.928503,saved,saved pad reference,40.090431,-80.928503,1786258360881449,Named roads to saved pin,phone current location,,PORTERFIELD GAS UNIT exact-record Vineyard Road reviewed handoff
bb597303-aba8-47d6-9503-692687331658,ascent--premiere,PREMIERE,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → Pad → OR → OH-9 → US-22 → Industrial Pkwy → OH-149 → OH-331 → Pad,3,GPS_ONLY,ODNR wellhead,40.128496,-81.001952,ODNR wellhead,official wellhead reference,40.128496,-81.001952,1786265512886177,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
4408e188-ccb4-40a6-9627-6c7a648fdd49,ascent--prosser-e,PROSSER E,Ascent,Ohio,Belmont,I-70 → Exit 208 → OH-149 → OH-40 / National Rd → Left/north On Pancoast Rd,3,GPS_ONLY,saved,40.101534,-81.020914,saved,saved pad reference,40.101534,-81.020914,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
fd6649db-8828-4f70-8519-8aac5097bfe8,ascent--r-hoover,R HOOVER,Ascent,Ohio,Belmont,OH-1 → US-250 / W/cadiz Pike → Olive Branch Rd → 4. Veer Onto CR36 Rd → CR-36 → Henderson Ridge Rd → OR → OH-1 → E Toward Piedmont- Freeport Rd → US-22 → OH-519 → US-250 → Olive Branch Rd → Sheperdstown Rd → Henderson Ridge Rd,3,GPS_ONLY,saved,40.144397,-80.892833,saved,saved pad reference,40.144397,-80.892833,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
b8490b6c-0924-4b1d-a46e-6dc54e7e7267,ascent--reitz,REITZ,Ascent,Ohio,Belmont,OH-147 → Old Gas Station Wegee Rd → Lease Road,3,GPS_ONLY,saved,39.95176,-80.857579,saved,saved pad reference,39.95176,-80.857579,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
73f48788-9990-435a-adee-999740e958de,ascent--richland-b,RICHLAND B,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → US-40 → Lloydsville Bannock Rd → Lude Rd → OR → OH-149 → US-40 → Lloydsville Bannock Rd → Lude Rd → OR → I-70 → Exit 208 → OH-149 → US-40 → Lloydsville Bannock Rd → Lude Rd,3,GPS_ONLY,saved,40.077481,-80.995772,saved,saved pad reference,40.077481,-80.995772,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
435db86b-8ba5-40e2-a181-252adef649ab,ascent--robinson,ROBINSON,Ascent,Ohio,Belmont,I-470 → OH-7 → OH-149 → Klee Cross Rd / TR-476 → OH-147 → Fulton Hill Rd / CR-42 → Pad,3,GPS_ONLY,saved,40.014531,-80.770108,saved,saved pad reference,40.014531,-80.770108,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
19a4f7ef-4334-4b1c-8443-2c5ccb323d1d,ascent--rock-ridge,ROCK RIDGE,Ascent,Ohio,Belmont,I-70 → Exit 202 → OH-800 → Shannon Rd → Lowe Rd → 1st Cross Rd → Fairview Rd → Douglas/fairview Rd → Putney Ridge Rd → Lease Road,reviewed_handoff_authority_held,DONE,saved,39.998772,-81.224825,saved,verified driver entrance,39.998772,-81.224825,1786265812046205,Named roads to saved pin,phone current location,,"ROCK RIDGE exact-record Shannon, Lowe, Fairview, Douglass, and Pultney Ridge reviewed entrance handoff"
73e32bb0-be54-47c7-a2bf-3472dd16fd33,ascent--ross,ROSS,Ascent,Ohio,Belmont,I-70 → Exit 215 → US-40 → Vineyard Rd → Lee Rd → Power Line Rd,3,GPS_ONLY,saved,40.105598,-80.954744,saved,saved pad reference,40.105598,-80.954744,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
553870dd-59f1-43c2-845a-ec8d1c28e136,ascent--schnegg,SCHNEGG,Ascent,Ohio,Belmont,CR-56 / Cats Run Rd → Pad,3,GPS_ONLY,saved,39.86371,-80.863685,saved,saved pad reference,39.86371,-80.863685,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
f68bb21b-696f-4154-9a2f-09a0285984f0,ascent--seabright,SEABRIGHT,Ascent,Ohio,Belmont,OH-7 → OH-250 → CR-18 / Lansing- Cheermont Rd → OR → OH-519 / Stumptown Rd → OH-250 → CR-18 / Lansing- Cheermont Rd,3,GPS_ONLY,saved,40.105655,-80.802137,saved,saved pad reference,40.105655,-80.802137,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
69c63442-de05-4d15-95da-07da587bc070,ascent--shutway,SHUTWAY,Ascent,Ohio,Belmont,I-70 → Exit 208 → OH-149 → Pad,3,GPS_ONLY,saved,40.113559,-81.076149,saved,saved pad reference,40.113559,-81.076149,1787615581785257,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
5a0ede1b-4586-4edc-9438-7cb29a24e58e,ascent--sidwell,SIDWELL,Ascent,Ohio,Belmont,OH-1 → OH-9 → Unity Church Rd → Pad → OR → I-70 → Exit 216 → OH-9 → Newell Ave → OH-9N → Unity Church Rd → OR → OH-1 → OH-331S → OH-149N → OH-9S → Unity Church Rd,3,GPS_ONLY,saved,40.146316,-80.979282,saved,saved pad reference,40.146316,-80.979282,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
